FGP,FEED GRADE PRODUCTS
GAL,GALENICAL PRODUCTS
IND,INDENT PRODUCTS
WSP,WATER SOLUBLE PRODUCTS
HHP,HERD HEALTH PRODUCTS
INJ,INJECTABLES PRODUCTS
FCP,FIGHTING COCK PRODUCTS
ASP,ANTI-SCOURING PRODUCTS
DIS,DISINFECTANT PRODUCTS
ESP,EMULSION/SUSPENSION PRODUCTS
EQUIPMT,EQUIPMENT PRODUCTS
FCF,FIGHTING COCK FEEDS
VAC-LOH,LOHMANN VACCINE PRODUCTS
VACCINE,LOCAL VACCINE PRODUCTS
CMP,CUSTOM MADE PRODUCT
AQUA,AQUA PRODUCTS
EQUIPTM,OTHERS
DEWORM,DEWORMER PRODUCTS
PRP,PROMO-FC PRODUCTS
FCPP,FIGHTING COCK PROMO
CTC,COVER THE COUNTER PRODUCTS
RPP,RACING PIGEON PRODUCTS
OTCVLP,VETERINARY LARGE PRODUCTS
CPD,COMMERCIAL PRODUCTS
