DP000001,BACCHUS PUBLICATION,"2621 LAMAYAN STREETSTA. ANA, MANILA",,,30,126-471-831-000 VAT,126-471-831-000 VAT (1/13
DP000002,MANILA BULLETIN,"CUBAO, QUEZON CITY",,,0,000-746-558-000VAT,000-746-558-000VAT
DP000003,PIT GAMES PUBLICATION,"18 5A ST., UPS V. SUCATPARAÑAQUE, M.M.",,,30,,
DP000004,"XX-UNIQUE ADVERTISING MARKETING SERVICES,INC","SUITE 901 PACIFIC BANKBLDG.,QUINTIN PAREDES ,BINONDO, MANILA",,47-29-06,30,230-103-918-401-V,230-103-918-401-V
DP000005,ZZ BANKCARD,MANILA,,,0,,
DP000006,BANK OF PHIL. ISLAND,MAKATI,,,0,,
DP000007,BPI EXPRESS CREDIT,"BPI BLDG, AYALA AVENUEMAKATI CITY",,,0,,
DP000008,"BPI FAMILY SAVINGS BANK,INC.","BPI BLDG.,MAKATI CITY",,,0,000-225-292-000,
DP000009,CITIBANK GOLD MASTER CARD,MANILA,,,0,,
DP000010,EQUITABLE CARD NETWORK,MANILA,,,0,,
DP000011,FAR EAST BANK AND TRUST CO.,MANILA,,,0,,
DP000012,ZZ UNITED COCONUT PLANTERS BANK,MANILA,,,0,,
DP000013,XXXBETTY LIM,MANILA,,,0,,
DP000014,LAWRENCE ALANDY DY,MANILA,,,0,,
DP000015,ZZ ADELBERTO AMBROSIO,Q.C.,,,0,,
DP000016,ZZ EXCEL COMMUNICATION,MANILA,,,0,,
DP000017,GLOBE TELECOM,MANILA,,,0,050-000-768-480 VAT,050-000-768-480 VAT
DP000018,RACHEL R. GONZALEZ,QUEZON CITY,RACHEL,,0,123,123
DP000019,ZZ PILTEL,METRO MANILA,,,0,047-000-489-462 VAT,047-000-489-462 VAT
DP000020,PLDT INC.,LEGASPI COR.DELA ROSA ST.MAKATI CITY,,,0,000-488-793-000 V,000-488-793-000 V
DP000021,XXXCARMEN DY LIACCO,Q.C.,,,0,,
DP000022,ELOISA E. ORODIO,QUEZON CITY,LOUIE,921-26-42,0,123,123
DP000023,PAYROLL REGULAR - LAST PAY,QUEZON CITY,,,0,,
DP000024,ZZ FRANCIS AFABLE,QUEZON CITY,,,0,123,123
DP000025,ZZ CATHAY BUILDERS,BINAN,,,0,,
DP000026,XXXJOSEFINA AND/OR EMMANUEL H.BARREDO JR.,QUEZON CITY,,,0,,
DP000027,ZZ TUNG SHING INDUSTRIAL SEWING MACHINE CO.,"1751 JOSE ABAD SANTOS AVETONDO, MANILA PHILIPPINES",,,0,,
DP000028,ZZ EDGAR D. BATIS,SR - Q.C.,EDGAR,,0,123,123
DP000029,XXXARSENIO Y. CASTILLO,QUEZON CITY,ARCIE,,0,123,123
DP000030,ENRIQUE Y. CASTILLO JR.,QUEZON CITY,RICKY,,0,100-052-428-000,
DP000031,ZZ RICARDO G. CASTILLO,QUEZON CITY,RICK,,0,123,123
DP000032,ZZ RONALD R. CASTILLO,QUEZON CITY,RONNIE,,0,123,290-000-184-489V
DP000033,ZZ ALVIN B. CRUZ,QUEZON CITY,ALVIN,,0,123,123
DP000034,ZZ PIZZA HUT-HEAD OFFICE,"aurora tower,aranetacenter, cubao q.c.",,,0,200-741-954-000 VAT,200-741-954-000 VAT
DP000035,ZZ MARITESS HUERTAS,QUEZON CITY,,,0,,
DP000036,ZZ MARIO DACUNO,BINAN,,,0,,
DP000037,ZZ EDISON P. LAGMAN,QUEZON CITY,KULOT,,0,123,123
DP000038,ZZ GDS SECURITY AND DETECTIVE AGENCY & GEN.SE,cebu,,,0,,
DP000039,ZZ ALDIS  STORE,"PARAGON SQUARE F. FELIXAVENUE CORNER IMELDA,CAINTA RIZAL",,,0,913-073-739-000NON-VAT,913-073-739-000NON-VAT
DP000040,ISAGANI D. MATEO,QUEZON CITY,GANIE,,0,123,123
DP000041,"ZZ RECAIDO, EDWIN P.",QUEZON CITY,EDWIN,,0,123,123
DP000042,ZZ RUBEN T. SALILING,QUEZON CITY,RUBEN,,0,123,123
DP000043,NELSON A. TEE,QUEZON CITY,NELSON,,0,123,123
DP000044,"ZZ TIVIDAD, ABEL V.",QUEZON CITY,ABEL,,0,,
DP000045,ACHILES T. TOPANG,QUEZON CITY,AQUE,,0,,
DP000046,XXXJOSE JESUS B. TRINIDAD,QUEZON CITY,JESS,,0,290-000-184-489V,290-000-184-489V
DP000047,"ZZ AUDIOPHILE COMPONENTS, INC.",QUEZON CITY,,,0,,
DP000048,XXXLUISITO C. ABANO,QUEZON CITY,NOEL,,0,,
DP000049,ZZ LUIS A. ABOGA,CPD -SR (H.O.),,,0,,
DP000050,ZZ RENATO DIAZ,h.o.,,,0,,
DP000051,ZZ DOLORES C. BIEN,QUEZON CITY,DOLOR,,0,123,123
DP000052,ZZ FISCAL MALABAGUIO,QUEZON CITY,,,0,,
DP000053,"PVMA-SMC, INC.","royal mandaya hotel,davaocity",,,0,,
DP000054,"ZZ DEUS, CHERRY R.",QUEZON CITY,CHERRY,,0,123-456-789-,123-456-789
DP000055,ZZ ROSALIA A. ESCOSIO,QUEZON CITY,ROSE,,0,123,123
DP000056,"ZZ GATDULA, JOSE ARIEL A.","BINAN, LAGUNA",ARIEL G.,,0,123,123
DP000057,ZZ TITO GARCIA,CEBU,TITO,,0,123,123
DP000058,DANILO GO,"BINAN, LAGUNA",DANILO,,0,,
DP000059,"ZZ MANCE,FREDERICK F.","BINAN, LAGUNA",FREDERICK,,0,123,123
DP000060,"ZZ MATIAS,BENJAMIN D.","BINAN, LAGUNA",BENJIE,,0,123,123
DP000061,ZZ ENGR.JANONG CRUZ,binan laguna,,,0,,
DP000062,ZZ ESPIRITU-MODESTO ENTERPRISES,BINAN LAGUNA,,,0,,
DP000063,"ZZ ZARATE, EFREN, JR. M.","B-59 L-17 CHICO ST.,ANTIPOLO HILLS SUBD.ANTIPOLO RIZAL",EFREN,,0,123,123
DP000064,"ZZ PINGOL,GERALDINE S.",QUEZON CITY,GINGGING,,0,123-456-789,123-456-789
DP000065,ZZ GOOD SHEPHERD VET P/S,ISABELA,ROLLY MUROS,,0,,
DP000066,MARYLINDA O. VEGAFRIA,QUEZON CITY,LUCHIE,,0,123,123
DP000067,SANTO SINGKONG,h.o.,,,0,,
DP000068,XXXMANUEL BALAHADIA,109 ANAHAW STREETVETERANS VILLAGEQUEZON CITY,MANNY,,0,123,123
DP000069,YOCK'S GENERATOR REPAIR SHOP,"1009 PEDRO GIL ST.,ERMITA MANILA",FLORA,523-62-48,0,103-940-870-000V,103-940-870-000V
DP000070,XXXMACLIN FORWARDER,109 ANAHAW STREETVETERANS VILLAGEQUEZON CITY,MANNY,,30,154-432-306,154-432-306
DP000071,SHADOW INTERNATIONAL LINES,"SUITE 205 ,MJE BLDG.QUEZON CITY",,712-11-45,15,000-396-723V,
DP000072,ZZ AGRI-DAVAO,davao city,,,0,,
DP000073,ZZ BELEN SERAPIO,BINAN LAGUNA,,,0,,
DP000074,BUREAU OF ANIMAL INDUSTRY,QUEZON CITY,,,0,290-000-184-489V,290-000-184-489V
DP000075,BUREAU OF FOODS AND DRUGS,PARANAQUE,,,0,1230,1230
DP000076,DBP QUEZON AVE.BRANCH-FAO BIR,QUEZON CITY,,,0,0000,0000
DP000077,HOME DEVELOPMENT MUTUAL FUND,QUEZON CITY,,,0,000,000
DP000078,ZZ Q.C. TREASURERS OFFICE,QUEZON CITY,,,0,000,000
DP000079,SOCIAL SECURITY SYSTEM,QUEZON CITY,,,0,0000,0000
DP000080,ZZ ASIA TRADERS INSURANCE CORP.,"3RD FLR. TRADERS BLDG.275 JUAN LUNA ST,MANILA",CESAR/ANGIE,361-16-67,90,000-740-925-000,000-748-925-000
DP000081,ZZ JARDINE CMG LIFE INSURANCE,"222 SENATOR GIL PUYATAVENUE, MAKATI",NINA,843-0015,0,000-174-156,
DP000082,ZZ RICO GEN.INSURANCE CORP.,"106 ESTEBAN STREETLEGASPI VILLAGE,MAKATI",WILLIE/MEL,816-27-52,0,047-000-494-,047-000-494-
DP000083,ZZ SEABOARD EASTERN INSURANCE,"12TH FLR. MANILA BANKBLDG., MAKATI",ARLENE/MYLA,361-16-67,90,380-100-979-,380-100-979
DP000084,MERALCO,QUEZON CITY,,,0,000-101-528-000 VAT,000-101-528-000
DP000085,ZZ MWSS,QUEZON CITY,,,0,,
DP000086,PAYROLL-CONTRACTUAL,BINAN,LYC,,0,290-000-184-489,290-000-184-489
DP000087,PAYROLL REGULAR,QUEZON CITY,DOLOR,,0,290-000-184-489,290-000-184-489
DP000088,PAYROLL UPPER,QUEZON CITY,DOLOR,,0,290-000-184-489,290-000-184-489
DP000089,PAYROLL OVERTIME,BINAN,LYC,,0,290-000-184-489,290-000-184-489
DP000090,ZZ AD VERGS PRINTING SERVICE,"112 LUCIA STREET.12TH AVENUE, WESTKALOOCAN CITY",NILO/ZOCK,361-99-53,90,290-154-422,
DP000091,ZZ A.S.GAMEZ PRINTING,"67 MARIVELES STREETSTA. MESA HEIGHTS,QUEZON CITY",LINDA,741-99-53,90,380-100-979V,380-100-979V
DP000092,"ZZ BUZON PRESS, INC.","262 G. ARANETA AVENUESANTOL, QUEZON CITY",BOYETTE,61-61-55,90,301-000-387,301-000-387V
DP000093,"ZZ FILIPINAS SHUTTERS, INCORPORATED","KM 23 ORTIGAS AVE., EXT.CAINTA RIZAL",,655-1501,30,000-420-317-000 VAT,000-420-317-000 VAT
DP000094,ZZ JOBERT PRINTING,"23 DAYNE ST., DAMARVILLAGE, QUEZON CITY",ROBERT,361-3931/21,90,,
DP000095,ZZ PHILGRAPHIC VISION DESIGN,"226 11TH AVENUE CORNER6TH ST., KALOOKAN CITY",PETER DY,361-07-60,30,300-145-807-988V,300-145-807-988V
DP000096,ZZ REGAN PRINTERS,201 DELTA BLDG. CORNERQUEZON & WEST AVENUEQUEZON CITY,OYIE,922-28-50,90,280-102-257V,280-102-257V
DP000097,ZZ ENNER-VET INC.,MANILAQUEZON CITY,,,0,,
DP000098,ZZ SQUARE PRINTING,43 N. DOMINGO ST. CORNERQUEZON & WEST AVENUEQUEZON CITY,JUN,70-20-58,90,390-110-554-048-VAT,390-110-554-048-VAT
DP000099,ZZ ULTIMA PRINTER,"1743 DUMAS  ST., LA PAZVILLAGE, MAKATIMETRO MANILA",LEA/JUN,896-6775,15,,
DP000100,ZZ MARBECOLLE GENERAL MERCHANDISE,Q.C.,,,0,,
DP000101,ZZ SOO GUTIERREZ LEOGARDO & LEE,"9TH FLR., SAGA HOUSE 110HERRERA ST. LEGASPI VILL.MAKATI METRO  MANILA",ATTY. SOO,812-88-61,15,,
DP000102,BELL TELECOM,4/F PACIFIC STAR BLDG.MAKATI AVE. MAKATI CITY,,,0,002-806-223-000,002-806-223-000
DP000103,ZZ ACD ENTERPRISES,MANILA,,,0,,
DP000104,"ZZ SIME DARBY PILIPINAS,INC.",MANILA,,,0,,003-878-219-000
DP000105,ZZ TONY ALLEJE FARM,MANILA,,,0,,
DP000106,ZZ BEST BUILT AUTO SHOP INC.,q.c.,,,0,,
DP000107,ZZ BATAAN POULTRY SUPPLY,MANILA,,,0,,
DP000108,ZZ CAGAYAN P/S,MANILA,,,0,,
DP000109,ZZ WELLCROSS BROKERAGE CORPORATION,"806, 8TH FLR.CITYLANDHERRERA TOWER HERRARA ST.SALCEDO VILL.MAKATI CITY",,817-14-04,0,215-529-112-000 VAT,215-529-112-000 VAT
DP000110,ZZ DAGUPAN SWINE MASTER,MANILA,,,0,,
DP000111,ZZ DRD ENTERPRISES,MANILA,,,0,,
DP000112,ELITE PRINTERS,71 KAMUNING ROADQUEZON CITY,ANDERSON,714-54-02,90,301-104-007-144-V,301-104-007-144-V
DP000113,ZZ ELVINA FARM,MANILA,,,0,,
DP000114,ZZ ERMILS POULTRY SUPPLY,MANILA,,,0,,
DP000115,ZZ ESA FARM,MANILA,,,0,,
DP000116,FARMBREED POULTRY SUPPLY,MANILA,,,0,,
DP000117,FARMRICH POULTRY SUPPLY,MANILA,,,0,,
DP000118,ZZ FCN POULTRY SUPPLY,MANILA,,,0,,
DP000119,XXXFOREMOST FARM,MANILA,,,0,,
DP000120,GENERAL MILLING CORPORATION,MANILA,,,0,,
DP000121,ZZ GREEN INC.,MANILA,,,0,,
