
AQUA,AQUA DIVISION
CID,CONSUMER DIVISION
CID-PHD,CONSUMER/PHARMA DIVISION
CONSUMR,CONSUMER CATEGORY
CPD,CPD
CPD-BR,COMMERCIAL PRODUCTS-BRANDED
CPD-IMP,CPD IMPORTED
CPD-LOC,CPD-LOCAL
CPD-OTC,COMBINATION CPD-OTC
CTC,COVER THE COUNTER
DSTRCT,FOR DESTRUCTION
EQUINE,EQUINE
EVP,ETHICAL VETERINARY PRODUCTS
FIGHT,FIGHTING COCK
GAL,GALENICAL PRODUCTS
MED MIS,MEDICAL MISSION
MP,MISCELLANEOUS PRODUCT
NOMOVE,NON MOVING-PETCARE
NOMOVIN,NON MOVING - VETERINARY
NONMOV,NON MOVING ITEMS
OLD LAY,OLD LAYOUT NON-MOVING
OTC,OTC
P.CARE,PETCARE CATEGORY
PET,PETCARE DIVISION
PHD,PHARMACEUTICAL DIVISION
PHD 500,IND.BOX REMOSTON 500MG TAB
PHD 600,IND.BOX STOPCOUGH 600MG TAB
PHD CB,C-BOX ENCLOXIL CAPSULE
PHD CBX,"CORRUGATED BOX,SYRUP 60ML"
PHD FP,"FOIL,PRNTD,STOPCOUGH 600MG TAB"
PHD IND,IND.BOX STOPCOUGH 60ML ORANGE
PHD SFP,"STRIP FOIL,PRNTD REMOSTON600MG"
PHD-CON,PHARMACEUTICAL/CONSUMER PRODUC
PROBIO,PROBIOTICS
PROD,PRODUCTION USE
QAC-LR,QAC LIQUID REAGENTS
QAC-SR,QAC SOLID REAGENTS
QACM,QUALITY ASSURANCE CONTRL MICRO
R&D,RESEARCH AND DEVELOPMENT
RADL,RESEARCH & DEVELOPMENT LIQUID
RADRM,RESEARCH & DEVELOPMENT RAWMAT
RPIGEON,RACING PIGEON
SWINE,SWINE CATEGORY
TOLL,TOLL PRODUCTS
VET,VETERINARY PRODUCTS
VET-PHD,COMBINATION VET-PHD PRODUCTS
